description,genre
"ધનવાન બનવા તમારી આવક વધારે જ હોવી જોઈ, એ માન્યતાનું ખંડન કરતું પુસ્તક, ભવિષ્ય માટે મિલકતો સર્જતા અને ખરીદતા શીખવતું પુસ્તક, તમારું ઘર એ તમારી મિલકત છે, એ માન્યતાને પડકારતું પુસ્તક, રૂપિયા વિશે એ બધું જ શીખવતું પુસ્તક જે શાળા-કોલેજોમાં ક્યારેય શીખવવામાં નથી આવતું, એ બધું જ જે ધનવાનો પોતાના સંતાનોને શીખવે છે, પરંતુ મધ્યમ વર્ગ કે ગરીબો જાણતા હોતા નથી.",Business
"The third novel in #1 New York Times bestselling author Nora Roberts' stunning Chesapeake Bay Saga, where the Quinn brothers must return to their family home on the Maryland shore, to honor their father's last request... Phillip Quinn has done everything to make his life seem perfect. With his career on the fast track and a condo overlooking the Inner Harbor, his life on the street is firmly in the past. But one look at Seth and he’s reminded of the boy he once was. Seth’s future as a Quinn seems assured—until a stranger arrives in town. She claims to be researching the town of St. Christopher’s for her new book, but the true objects of study are the Quinns. Her cool reserve intrigues Phillip. He is determined to uncover her motives, but she is holding a secret that has the power to threaten the life the brothers have made for Seth. A secret that could tear the family apart—forever... Don't miss the other books in the Chesapeake Bay Saga Sea Swept Rising Tides Chesapeake Blue",Fiction
"“A splendid little war “- that’s how one contemporary observer described the Spanish-American War, a war that is arguably one of the most important wars ever fought. The duration was short and the victory decisive, thus little and splendid, the latter, at least, from the victor’s point of view. The impacts of the war, however, were anything but little. In fact, the aftermath of the Spanish-American War is still affecting global affairs today. The dominant superpowers of 1898 watched as a new player on the international scene, the United States, shifted its ideology from isolationism to expansionism, and emerged as a force to reckoned with, a true superpower. Inside you will read about... Prelude to War First Blood The Pacific Theatre The Caribbean Theatre War’s End And much more! Explore the Spanish-American War, the brief but pivotal conflict that marked America’s rise as a global power. From battles in Cuba and the Philippines to the Treaty of Paris, this war reshaped nations. Perfect for history enthusiasts and students of American expansion. Get your copy today and uncover the story of this historic turning point!",History
"Master Functional Programming techniques with this comprehensive guide for writing cleaner, safer, high-performing JavaScript codes About This Book Become proficient and skilled with Functional Programming in JavaScript to solve real-world development problems Successfully apply Functional Programming concepts and techniques to everyday JavaScript programming Bring modularity, reusability, testability, and performance to your web apps Who This Book Is For If you are a JavaScript developer and want to apply functional programming techniques, then this book is for you. Only a basic knowledge of the concepts of functional programming is required for this book. What You Will Learn Create more reliable code with closures and immutable data Convert existing methods into pure functions, and loops into recursive methods Develop more powerful applications with currying and function composition Separate the logic of your system from implementation details Implement composition and chaining techniques to simplify coding Use functional programming techniques where it makes the most sense In Detail Functional programming is a programming paradigm for developing software using functions. Learning to use functional programming is a good way to write more concise code, with greater concurrency and performance. The JavaScript language is particularly suited to functional programming. This book provides comprehensive coverage of the major topics in functional programming with JavaScript to produce shorter, clearer, and testable programs. You'll delve into functional programming; including writing and testing pure functions, reducing side-effects, and other features to make your applications functional in nature. Specifically, we'll explore techniques to simplify coding, apply recursion for loopless coding, learn ways to achieve immutability, implement design patterns, and work with data types. By the end of this book, you'll have developed the JavaScript skills you need to program functional applications with confidence. Style and approach This book takes an easy-to-follow, step-by-step tutorial approach. You will make the most of JavaScript programming with a focus on the progression of functional programming techniques, styles, and detailed information about JavaScript libraries.",Computers
"This handbook provides a step-by-step approach to using metabolic equations, from basic math principles to applying the equations to an exercise plan. Chapters focus separately on each equation, provide an easy-to-follow process of solving, and demonstrate the varied uses of the equation in clinical as well as fitness settings. Each chapter includes a set of problems that focus on real-world applications of the equation. Step-by-step problem solution explanations are provided at the end of each chapter. A comprehensive exam at the end of the book tests the reader's skill in using the equations.",Medical
"American education and culture are suffering from a terrible, soul-numbing imbalance, in which there is an overemphasis on basic, quantifiable skills and knowledge and a de-emphasis of more creative areas of the humanities, especially the arts and aesthetics. Detels indicates that the marginalization of the arts and aesthetics in American education has been caused by a hard-boundaried paradigm that has come to dominate American education. According to this paradigm, the arts are wrongly viewed and taught as separate, unconnected disciplines of music, visual arts, dance, and theater, while their intimate connections to each other and to aesthetic experience and life in general are completely unrepresented. The way out of this crisis is to change paradigms, from a hard-boundaried, single-minded valuation of specialization to a more soft-boundaried curriculum that allows for specialized education in individual art forms as well as widespread interdisciplinary integration of the arts with each other and with general education at the K-12 and college levels. Without such a change, we will be unable to equip our students with the necessary skills to understand and communicate about the increasingly complex, sensually immersive artistic media and forms of the future.",Education
Introduces the different culinary regions of Italy through recipes adapted for young chefs and discusses the basics of food handling and kitchen safety.,Cooking
"D.Prabhu, Assistant Professor, Department of Computer Science and Engineering, Anna University Regional Campus Coimbatore, Maruthamalai Main Road, Coimbatore, Tamil Nadu, India. Dr.K.Poongothai, Associate Professor, Department of Information Technology, M.Kumarasamy College of Engineering, Karur, Tamil Nadu, India. Dr.V.Lakshminarayanan, Professor, Department of Electronics and Communication Engineering, Er.Perumal Manimekalai College of Engineering, Hosur, Krishnagiri, Tamil Nadu, India. Dr.Mishmala Sushith, Associate Professor, Department of Information Technology, Adithya Institute of Technology, Coimbatore, Tamil Nadu, India. Dr.G.Baskar, Assistant Professor, Department of Computer Science, KPR College of Arts Science an Research, Coimbatore Tamil Nadu, India.",Computers
"Encyclopaedia on banking and finance in the USA - includes bibliographys, maps and statistical tables.",Business
"Il existe deux sortes de jeux: les jeux finis et les jeux infinis. Les jeux finis sont disputés par des joueurs désignés. Ils ont des règles fixes. Et il existe un objectif convenu qui, lorsqu'il est atteint, met fin au jeu. Le football, par exemple, est un jeu fini. Les jeux infinis, au contraire, n’ont pas de règles précises ou admises. Il peut exister des conventions ou des lois gouvernant le comportement des joueurs, mais ces derniers peuvent agir à leur guise à l’intérieur de ces frontières larges. Le jeu de l’économie répond à la définition même d’un jeu infini. Pourtant, à écouter le langage de tant de leaders actuels, on dirait qu’ils ne savent pas quel jeu ils disputent. «L’emporter sur les concurrents» est pour eux une obsession. Sauf que, dans les jeux sans ligne d’arrivée, tout cela est impossible. Diriger dans un esprit de fini en situation de jeu infini engendre toutes sortes de problèmes, dont le plus courant est le déclin de la confiance, de la coopération et de l’innovation. Diriger dans un esprit d’infini, au contraire, nous fait avancer dans une meilleure direction. Les groupes qui adoptent un tel esprit bénéficient de niveaux de confiance, de coopération et d’innovation bien plus élevés. Plus percutant que jamais, Simon Sinek livre avec Le jeu infini un ouvrage inspirant qui va bouleverser votre vision du management et du monde de l’entreprise; une invitation à insuffler un état d’esprit nouveau autour de vous, à être un leader, pas uniquement pour aujourd’hui, mais pour demain... et le jour d’après.",Business
"In this book, Edward Snajdr demonstrates how concerns about ecology generated a social movement that led to political dialogue about freedom, ethnicity, and power. He connects the role that green dissidents played in communism's collapse with the forces in Slovak society that replaced them. Through ethnographic interviews and archival materials, he explains why Slovakia's ecology movement, so strong under socialism, fell apart so rapidly despite the persistence of serious ecological maladies in the region. Synthesizing theory in anthropology and political ecology, he suggests that the fate of environmentalism in Slovakia marks the beginning of a global post-ecological age, where nature is culturally maginalized in new ways.",Business
"The definitive introduction to the behavioral insights approach, which applies evidence about human behavior to practical problems. Our behavior is strongly influenced by factors that lie outside our conscious awareness, although we tend to underestimate the power of this “automatic” side of our behavior. As a result, governments make ineffective policies, businesses create bad products, and individuals make unrealistic plans. In contrast, the behavioral insights approach applies evidence about actual human behavior—rather than assumptions about it—to practical problems. This volume in the MIT Press Essential Knowledge series, written by two leading experts in the field, offers an accessible introduction to behavioral insights, describing core features, origins, and practical examples. These insights have opened up new ways of addressing some of the biggest challenges faced by societies, changing the way that governments, businesses, and nonprofits work in the process. This book shows how the approach is grounded in a concern with practical problems, the use of evidence about human behavior to address those problems, and experimentation to evaluate the impact of the solutions. It gives an overview of the approach's origins in psychology and behavioral economics, its early adoption by the UK's pioneering “nudge unit,” and its recent expansion into new areas. The book also provides examples from across different policy areas and guidance on how to run a behavioral insights project. Finally, the book outlines the limitations and ethical implications of the approach, and what the future holds for this fast-moving area.",Psychology
"Get hands on with Kelp.Net , MicrosoftÕs latest Deep Learning framework Description Deep Learning with Kelp.Net is the ultimate reference for C# .Net developers who are passionate about deep learning. Readers will learn all the skills necessary to develop powerful, scalable and flexible deep learning models from a fluid and easy to use API. Upon completing the book the reader will have all the tools necessary to add powerful deep learning capabilities to their new or existing applications. Key Features Deep Learning Basics The ultimate Kelp.Net reference guide Develop state of the art deep learning applications C# Deep Learning code Develop advanced deep learning models with minimal code Develop your own advanced Deep Learning models Loading and Saving Deep Learning Models Comprehensive Kelp.Net reference Sample Deep Learning Models and Tests OpenCL Reference Easily add deep learning to your applications Many sample models and tests Intuitive and user friendly What you will learn In-depth knowledge of Kelp.Net How to develop Deep Learning models C# Deep Learning programming Open-Computing Language (OpenCL) Loading and saving Deep Learning models How to develop and use activation functions How to test Deep Learning models Who This Book is For This book targets C# .Net developers who are passionate about deep learning yet want to do so from an easy and intuitive API. Table of Contents Introduction ML/DL Terms and Concepts Deep Instrumentation Kelp.Net Reference Loading and Saving Models Model Testing and Training Sample Deep Learning Tests Creating Your Own Deep Learning Tests Appendix A: Evaluation Metrics Appendix B: OpenCL",Computers
"**** Cited in Sheehy and BCL3. The foremost reference in the field, completely revised and updated, and now covering about 600 authors, mainly English-language writers whose work appeared during or since the time of Conan Doyle. The entry for each writer consists of a biography, a bibliography, and a signed critical essay. Living authors were invited to add a comment on their work; many of them accepted, and their remarks are both entertaining and enlightening. Annotation copyrighted by Book News, Inc., Portland, OR",Literary Criticism
"Data Science and Big Data Analytics is about harnessing the power of data for new insights. The book covers the breadth of activities and methods and tools that Data Scientists use. The content focuses on concepts, principles and practical applications that are applicable to any industry and technology environment, and the learning is supported and explained with examples that you can replicate using open-source software. This book will help you: Become a contributor on a data science team Deploy a structured lifecycle approach to data analytics problems Apply appropriate analytic techniques and tools to analyzing big data Learn how to tell a compelling story with data to drive business action Prepare for EMC Proven Professional Data Science Certification Get started discovering, analyzing, visualizing, and presenting data in a meaningful way today!",Computers
"Jean-Luc Nancy and the Thinking of Otherness is the first book in English to provide a sustained account of the relationship between Nancy, Levinas and Heidegger. It investigates Jean-Luc Nancy's reading of Heidegger, focusing on the question of Being-with, and starting with the problem of otherness in Heidegger, the book goes on to establish a dialogue between Nancy and the philosophy of Emmanuel Levinas. With intellectual agility and command of cinema, literature and visual art, Daniele Rugo insists on the critical significance of Nancy's project for any future philosophy attempting to define itself beyond foundational acts, and according to the continuous crossings at the heart of existence. By discussing Nancy alongside Heidegger and Levinas, Rugo underlines the essential indecision between philosophy-as-literature and philosophy as the re-appropriation of the question of Being. Rugo offers unexpected associations which return thinking to the play of specificity, rather than restricting it to the passage of abstract formulations.",Literary Criticism
A medieval French poem styled as an allegorical dream vision.,Fiction
"Hands-on Machine Learning with R provides a practical and applied approach to learning and developing intuition into today’s most popular machine learning methods. This book serves as a practitioner’s guide to the machine learning process and is meant to help the reader learn to apply the machine learning stack within R, which includes using various R packages such as glmnet, h2o, ranger, xgboost, keras, and others to effectively model and gain insight from their data. The book favors a hands-on approach, providing an intuitive understanding of machine learning concepts through concrete examples and just a little bit of theory. Throughout this book, the reader will be exposed to the entire machine learning process including feature engineering, resampling, hyperparameter tuning, model evaluation, and interpretation. The reader will be exposed to powerful algorithms such as regularized regression, random forests, gradient boosting machines, deep learning, generalized low rank models, and more! By favoring a hands-on approach and using real word data, the reader will gain an intuitive understanding of the architectures and engines that drive these algorithms and packages, understand when and how to tune the various hyperparameters, and be able to interpret model results. By the end of this book, the reader should have a firm grasp of R’s machine learning stack and be able to implement a systematic approach for producing high quality modeling results. Features: · Offers a practical and applied introduction to the most popular machine learning methods. · Topics covered include feature engineering, resampling, deep learning and more. · Uses a hands-on approach and real world data.",Business
"Dr Terry A. Sheridan employs a new and unique theoretical perspective to examine how malevolent, tyrannical and mediocre managers commonly use violence in the workplace, not necessarily physical violence, but bullying, overt and covert emotional abuse - all forms of negative behaviour that are damaging to individuals and organisations. The theoretical basis for the author’s analysis and prescriptions is the new perspective of Executive Impression Management, which stems from Dr Sheridan’s research into the differences between a number of types of executives from their co-workers’ point of view. That investigation developed indicators to identify different negative management types and also helped define what has been called respectful management - the sort exercised by those managers who are good stewards. What makes this book unusual is that it is derived from qualitative research and covers an area where hardly any scholarly work has been produced. The author argues that the research methodology employed has resulted in a better understanding of impression management than has hitherto been possible. It addresses the confusion that often abounds regarding who is a good or bad manager and the fact that we can identify bad management through measures of company or organisational performance, but not how and why it went wrong. It will assist the leadership of organisations to make the right decisions about recruitment and promotion and to identify and challenge poor performance effectively.",Business
"Artificial intelligence (AI) and machine learning (ML) techniques play an important role in our daily lives by enhancing predictions and decision-making for the public in several fields such as financial services, real estate business, consumer goods, social media, etc. Despite several studies that have proved the efficacy of AI/ML tools in providing improved healthcare solutions, it has not gained the trust of health-care practitioners and medical scientists. This is due to poor reporting of the technology, variability in medical data, small datasets, and lack of standard guidelines for application of AI. Therefore, the development of new AI/ML tools for various domains of medicine is an ongoing field of research. Machine Learning in Healthcare: Fundamentals and Recent Applications discusses how to build various ML algorithms and how they can be applied to improve healthcare systems. Healthcare applications of AI are innumerable: medical data analysis, early detection and diagnosis of disease, providing objective-based evidence to reduce human errors, curtailing inter- and intra-observer errors, risk identification and interventions for healthcare management, real-time health monitoring, assisting clinicians and patients for selecting appropriate medications, and evaluating drug responses. Extensive demonstrations and discussion on the various principles of machine learning and its application in healthcare is provided, along with solved examples and exercises. This text is ideal for readers interested in machine learning without any background knowledge and looking to implement machine-learning models for healthcare systems.",Computers
"Recent research underscores a serious lack of preparedness among hospitals nationwide and a dearth of credible educational programs and resources on hospital emergency preparedness. As the only resource of its kind, Health Care Emergency Management: Principles and Practice specifically addresses hospital and health system preparedness in the face of a large scale disaster or other emergency. Important Notice: The digital edition of this book is missing some of the images or content found in the physical edition.",Medical
"The new quick reference for understanding anxiety disorders The Wiley Concise Guides to Mental Health: Anxiety Disorders uses clear, highly accessible language to comprehensively guide the reader through the most frequently diagnosed mental health problem-anxiety-and its related issues. This concise, informative reference provides a complete history of the field, conceptualization, assessment, diagnosis, treatment, cutting-edge research, and other critical information. Like all the books in the Wiley Concise Guides to Mental Health Series, Anxiety Disorders features a compact, easy-to-use format that includes: Vignettes and case illustrations A practical approach that emphasizes real-life treatment over theory Resources for specific readers such as clinicians, students, and patients After discussing the conceptualization and assessment of anxiety disorders, Anxiety Disorders covers treatment with sections on client psychoeducation, cognitive tools, in vivo and imaginal exposure, cognitive behavioral therapy (CBT) techniques, and termination and relapse prevention. Additional issues covered include other treatment approaches; working with children and adolescents; working in group, family, and couples therapy settings; supervision; and concerns and challenges for the clinician. Useful to practitioners as an on-the-shelf resource and to students as a complete overview, the Wiley Concise Guides to Mental Health: Anxiety Disorders provides a complete and quick reference for the diagnosis and treatment of anxiety disorders.",Psychology
"This concise handbook offers comprehensive coverage of main topics in music theory. Instructors can elaborate on the material as appropriate to their course, while students can learn and review technical information without having to digest lengthy analyses and explanations. Unbiased and flexible, this book can be used as a primary or reference text. Topics include species and tonal counterpoint, instrumental ranges and transpositions, and a glossary of forms. Each major section ends with suggestions for analysis and further reading.",Education
"The New York Times bestseller by the acclaimed, bestselling author of Start With Why and Together is Better. Now with an expanded chapter and appendix on leading millennials, based on Simon Sinek's viral video ""Millenials in the workplace"" (150+ million views). Imagine a world where almost everyone wakes up inspired to go to work, feels trusted and valued during the day, then returns home feeling fulfilled. This is not a crazy, idealized notion. Today, in many successful organizations, great leaders create environments in which people naturally work together to do remarkable things. In his work with organizations around the world, Simon Sinek noticed that some teams trust each other so deeply that they would literally put their lives on the line for each other. Other teams, no matter what incentives are offered, are doomed to infighting, fragmentation and failure. Why? The answer became clear during a conversation with a Marine Corps general. ""Officers eat last,"" he said. Sinek watched as the most junior Marines ate first while the most senior Marines took their place at the back of the line. What's symbolic in the chow hall is deadly serious on the battlefield: Great leaders sacrifice their own comfort--even their own survival--for the good of those in their care. Too many workplaces are driven by cynicism, paranoia, and self-interest. But the best ones foster trust and cooperation because their leaders build what Sinek calls a ""Circle of Safety"" that separates the security inside the team from the challenges outside. Sinek illustrates his ideas with fascinating true stories that range from the military to big business, from government to investment banking.",Business
"NEW YORK TIMES BESTSELLER • The beloved author of The Handmaid’s Tale reimagines Shakespeare’s final, great play, The Tempest, in a gripping and emotionally rich novel of passion and revenge. “A marvel of gorgeous yet economical prose, in the service of a story that’s utterly heartbreaking yet pierced by humor, with a plot that retains considerable subtlety even as the original’s back story falls neatly into place.”—The New York Times Book Review Felix is at the top of his game as artistic director of the Makeshiweg Theatre Festival. Now he’s staging aTempest like no other: not only will it boost his reputation, but it will also heal emotional wounds. Or that was the plan. Instead, after an act of unforeseen treachery, Felix is living in exile in a backwoods hovel, haunted by memories of his beloved lost daughter, Miranda. And also brewing revenge, which, after twelve years, arrives in the shape of a theatre course at a nearby prison. Margaret Atwood’s novel take on Shakespeare’s play of enchantment, retribution, and second chances leads us on an interactive, illusion-ridden journey filled with new surprises and wonders of its own. Praise for Hag-Seed “What makes the book thrilling, and hugely pleasurable, is how closely Atwood hews to Shakespeare even as she casts her own potent charms, rap-composition included. . . . Part Shakespeare, part Atwood, Hag-Seed is a most delicate monster—and that’s ‘delicate’ in the 17th-century sense. It’s delightful.”—Boston Globe “Atwood has designed an ingenious doubling of the plot of The Tempest: Felix, the usurped director, finds himself cast by circumstances as a real-life version of Prospero, the usurped Duke. If you know the play well, these echoes grow stronger when Felix decides to exact his revenge by conjuring up a new version of The Tempest designed to overwhelm his enemies.”—Washington Post “A funny and heartwarming tale of revenge and redemption . . . Hag-Seed is a remarkable contribution to the canon.”—Bustle",Fiction
"Defines terms used in business, economics, statistics, and management, and includes appendices for abbreviations, ratios, formulas, and equations.",Business
